labels,text
spam,Ur HMV Quiz equilíbrio de dinheiro é atualmente £ 500 - para maximizar ur cash-in agora enviar HMV1 para 86688 apenas 150p/msg
ham,Parabéns ore mo owo re wa. Aproveite e desejo-lhe muitos momentos felizes a e fro onde quer que vá
ham,"7 maravilhas em My WORLD 7o You 6o Ur estilo 5o Ur sorriso 4o Ur Personalidade 3o Ur Natureza 2o Ur SMS e 1o ""Ur Lovely Friendship..."""
ham,Minha bateria é baixa babe
ham,Quando você vai comprar um bb cos eu tenho para venda e como é bf
ham,"Eu voo, mas chegarei ao meu destino em breve."
ham,Err... Cud do. Eu vou às 8h. Eu não tenho uma maneira de contactá-lo até então.
spam,PRIVATE! sua declaração de conta de 2003 para exibir 800 pontos S.I.M. não reembolsados. chamar 08715203685 Código de identificação:4xx26 Expira 13/10/04
ham,"Mamãe, eu te envio muitas mensagens desde que cheguei aqui. eu só quero saber que você está realmente recebendo-as."
ham,Palavras boas... Mas as palavras podem deixá-lo em desconforto muitas vezes.
ham,Eu compro o teste ontem. é algo que permite que você saiba o dia exato u ovulate.quando vai obter 2u em cerca de 2 a 3wks. Mas pls pls dont fret. eu sei u r preocupado. pls relax. Também há algo em ur passado história você precisa me dizer?
ham,Você pode chamar agora...
spam,"Sunshine Hols. Para reivindicar ur med holiday envie um envelope de endereço próprio stampado para Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire."
ham,Este telefone tem o carro mais estranho correto.
ham,Já existe um homem que te ama:
ham,"Se você quer dizer o site, sim."
ham,Eu posso chamar em &lt;#&gt; min se isso está certo
spam,Quer o mais recente Video handset? 750 em qualquer momento qualquer rede mins? Half preço linha de aluguer? Responda ou chame 08000930705 para entrega amanhã
spam,INTERFLORA - Não é tarde demais para encomendar Flores Interflora para o Natal chamar 0800 505060 para colocar a sua encomenda antes da Meia-Noite amanhã.
ham,Você é o mais velho que sabe.
ham,"Estou cansado de discutir com você sobre esta semana por semana. faça o que você quer e, a partir de agora, vou fazer o mesmo."
ham,"Os bons amigos caem uns para os outros, fecham os amigos sob os outros, e os verdadeiros amigos permanecem para sempre além das palavras, além do tempo."
ham,"Eu, eu estou no dinheiro do ghetto dos meus pais. boa notícia: pegamos uma baixa"
ham,"Hi frnd, qual é a melhor maneira de evitar o mal-entendido do nosso amado?"
ham,Okay nome ur preço enquanto é legal!Wen posso levá-los?Y u ave x ams xx
ham,R u disse que eu deveria re-ordenação dos slippers cos que eu tinha que pagar para devolvê-lo.
ham,E eu tenho certeza de que eu vou dar isso para você :-) enquanto você está vindo a revisar.
